# X1						X2						Label							Prediction
6.937807956355748207e-01 6.975435109389800381e-01 3.252289681511437269e+00 3.551988027378112367e+00
6.937370700934629708e-01 5.755759017135293476e-01 2.898651319778599689e+00 3.065205823457523238e+00
5.755959551135836350e-04 4.581922352933831544e-01 1.986978831195598483e+00 1.844362643176454375e+00
1.949528386636865118e-01 4.701994668112484677e-01 2.272075400492160835e+00 2.103269179899777352e+00
3.177489035542113704e-02 2.654587422061704949e-02 2.311784279375999063e-01 1.556621504113562260e-01
3.843716727482313633e-01 5.260614714016065285e-03 5.114382808413412418e-01 4.534502705182673066e-01
2.879193375000598243e-01 9.439900161104030074e-01 4.235061768235651947e+00 4.094931446958165466e+00
2.018388200177534397e-01 8.388137063337608446e-02 6.831837081238323339e-01 5.690684592506287665e-01
7.196408619257419481e-01 1.906815057397079904e-01 1.364791225505950223e+00 1.557329787326173554e+00
9.907943489313247865e-01 5.716880112567533923e-01 3.705525839826471657e+00 3.372135317314997049e+00
1.205798273966627310e-01 3.430676604807791907e-01 1.500960095850674136e+00 1.515196542041092442e+00
3.696872815881325769e-01 7.771918388211408457e-01 3.760213489789103747e+00 3.518047995256666116e+00
3.098678720447656243e-01 9.794834234112513860e-01 4.697912758296542535e+00 4.260398915643711426e+00
3.067156231811101197e-01 6.855788216996659967e-01 3.196489135813830096e+00 3.084095535910101216e+00
8.305417173327043212e-01 4.332158967338735067e-01 2.915268014695342913e+00 2.645587842313275040e+00
3.203867753914262373e-01 6.188825601287420985e-01 2.522628777705127501e+00 2.832771066280357353e+00
5.873261205257974682e-01 9.236888502973740200e-01 4.225229824270293477e+00 4.338910972004972777e+00
4.760972992659084913e-02 5.816206290019649838e-01 2.204180359326455729e+00 2.387980759400412545e+00
4.083980759662846349e-01 8.074511748943974387e-01 3.599827970364963381e+00 3.680822738197849553e+00
6.991804514113731939e-01 8.902250172308948661e-01 4.368994712259865132e+00 4.326781037690900611e+00
6.078303643330512651e-01 3.077617246159249920e-01 2.173793978694996465e+00 1.903194254410013109e+00
5.518185359133319645e-01 6.105503093533887204e-01 3.118788248605266489e+00 3.050730393046843680e+00
1.874807980193581303e-01 6.104239469002372687e-01 2.471544708506325350e+00 2.654750778928151256e+00
2.249005049131204137e-01 7.402645819775336422e-01 3.444912815470298817e+00 3.213522043033322895e+00
2.691693766598490800e-02 2.457039539903276282e-01 1.189658727989674869e+00 1.024980659024869567e+00
9.349182619946679873e-01 4.433321393435984969e-02 1.222666057451297528e+00 1.206975109893726250e+00
3.184655872434245527e-01 2.303504437395970106e-01 1.383925996467337383e+00 1.280175018896171801e+00
8.188996952977456445e-02 5.540184467768760612e-01 2.272299441345539517e+00 2.315038998068897680e+00
4.888166342025997979e-01 4.188304953440424860e-01 2.312362110844673690e+00 2.217250057717232270e+00
